Epoch:0, mse_tr=22.79364, mse_te=39.69819, std_te=12.96422, mae_Sole_Angle=18.37111, mae_Impact_Angle=2.96926, mae_Stridelength_FF=32.01392, 
Epoch:5, mse_tr=14.79226, mse_te=30.15382, std_te=10.98177, mae_Sole_Angle=7.66153, mae_Impact_Angle=3.03392, mae_Stridelength_FF=27.87448, 
Epoch:10, mse_tr=12.00280, mse_te=32.09567, std_te=7.49678, mae_Sole_Angle=5.60194, mae_Impact_Angle=3.97643, mae_Stridelength_FF=30.64894, 
Epoch:15, mse_tr=9.88578, mse_te=18.74840, std_te=6.04734, mae_Sole_Angle=7.46260, mae_Impact_Angle=5.27190, mae_Stridelength_FF=14.18528, 
Epoch:20, mse_tr=8.18998, mse_te=14.99865, std_te=5.05336, mae_Sole_Angle=3.94008, mae_Impact_Angle=2.29995, mae_Stridelength_FF=13.40927, 
Epoch:25, mse_tr=7.84687, mse_te=17.97716, std_te=5.87047, mae_Sole_Angle=8.67680, mae_Impact_Angle=2.60017, mae_Stridelength_FF=13.96408, 
Epoch:30, mse_tr=7.25536, mse_te=15.64668, std_te=5.03875, mae_Sole_Angle=3.20657, mae_Impact_Angle=6.06750, mae_Stridelength_FF=13.03788, 
Epoch:35, mse_tr=6.86404, mse_te=23.18549, std_te=8.66590, mae_Sole_Angle=5.41939, mae_Impact_Angle=2.51346, mae_Stridelength_FF=21.70725, 
Epoch:40, mse_tr=7.25594, mse_te=28.41249, std_te=9.03032, mae_Sole_Angle=10.53923, mae_Impact_Angle=3.00555, mae_Stridelength_FF=25.22916, 
Epoch:45, mse_tr=6.20467, mse_te=16.69922, std_te=5.04063, mae_Sole_Angle=3.34838, mae_Impact_Angle=5.43214, mae_Stridelength_FF=14.04216, 
Epoch:50, mse_tr=6.30637, mse_te=16.31053, std_te=6.14448, mae_Sole_Angle=4.04258, mae_Impact_Angle=2.81183, mae_Stridelength_FF=14.83482, 
Epoch:55, mse_tr=5.76321, mse_te=19.43957, std_te=6.98237, mae_Sole_Angle=3.35378, mae_Impact_Angle=2.46263, mae_Stridelength_FF=18.56116, 
Epoch:60, mse_tr=5.66028, mse_te=18.13270, std_te=4.51114, mae_Sole_Angle=3.39884, mae_Impact_Angle=3.42365, mae_Stridelength_FF=16.89854, 
Epoch:65, mse_tr=5.32328, mse_te=15.01371, std_te=4.18056, mae_Sole_Angle=5.45722, mae_Impact_Angle=2.50982, mae_Stridelength_FF=12.20087, 
Epoch:70, mse_tr=4.96102, mse_te=19.16927, std_te=4.76004, mae_Sole_Angle=4.75276, mae_Impact_Angle=2.52865, mae_Stridelength_FF=17.63856, 
Epoch:75, mse_tr=4.89754, mse_te=12.36728, std_te=3.26463, mae_Sole_Angle=5.28200, mae_Impact_Angle=3.12169, mae_Stridelength_FF=8.81227, 
Epoch:80, mse_tr=4.78248, mse_te=22.07367, std_te=6.51959, mae_Sole_Angle=3.59687, mae_Impact_Angle=3.89732, mae_Stridelength_FF=20.42923, 
