Epoch:0, mse_tr=48.26628, mse_te=42.09962, std_te=14.97290, mae_Stridelength_FF=42.09962, 
Epoch:5, mse_tr=28.44362, mse_te=13.70631, std_te=12.55478, mae_Stridelength_FF=13.70631, 
Epoch:10, mse_tr=29.33855, mse_te=22.27247, std_te=12.36946, mae_Stridelength_FF=22.27247, 
Epoch:15, mse_tr=26.70376, mse_te=24.35735, std_te=15.37883, mae_Stridelength_FF=24.35735, 
Epoch:20, mse_tr=22.64974, mse_te=15.81132, std_te=12.46627, mae_Stridelength_FF=15.81132, 
Epoch:25, mse_tr=19.25866, mse_te=11.96308, std_te=7.95571, mae_Stridelength_FF=11.96308, 
Epoch:30, mse_tr=16.10725, mse_te=18.21806, std_te=12.09964, mae_Stridelength_FF=18.21806, 
Epoch:35, mse_tr=15.81569, mse_te=25.29341, std_te=18.29399, mae_Stridelength_FF=25.29341, 
Epoch:40, mse_tr=14.10093, mse_te=12.37232, std_te=8.39224, mae_Stridelength_FF=12.37232, 
Epoch:45, mse_tr=13.55613, mse_te=16.75065, std_te=9.15287, mae_Stridelength_FF=16.75065, 
Epoch:50, mse_tr=12.55274, mse_te=25.00299, std_te=16.19816, mae_Stridelength_FF=25.00299, 
Epoch:55, mse_tr=11.76921, mse_te=13.16489, std_te=8.39140, mae_Stridelength_FF=13.16489, 
Epoch:60, mse_tr=11.82951, mse_te=12.60243, std_te=8.36919, mae_Stridelength_FF=12.60243, 
Epoch:65, mse_tr=11.10131, mse_te=15.37189, std_te=9.91978, mae_Stridelength_FF=15.37189, 
Epoch:70, mse_tr=10.82067, mse_te=12.73105, std_te=8.96239, mae_Stridelength_FF=12.73105, 
Epoch:75, mse_tr=11.12779, mse_te=10.79612, std_te=7.29838, mae_Stridelength_FF=10.79612, 
Epoch:80, mse_tr=10.23781, mse_te=15.44480, std_te=9.89153, mae_Stridelength_FF=15.44480, 
Epoch:85, mse_tr=10.29271, mse_te=12.37215, std_te=7.44810, mae_Stridelength_FF=12.37215, 
Epoch:90, mse_tr=10.78974, mse_te=15.07464, std_te=8.89714, mae_Stridelength_FF=15.07464, 
Epoch:95, mse_tr=9.33261, mse_te=16.62189, std_te=9.23084, mae_Stridelength_FF=16.62189, 
Epoch:100, mse_tr=10.06329, mse_te=13.42252, std_te=8.70424, mae_Stridelength_FF=13.42252, 
Epoch:105, mse_tr=9.43016, mse_te=14.08014, std_te=10.46909, mae_Stridelength_FF=14.08014, 
Epoch:110, mse_tr=9.04317, mse_te=11.65641, std_te=7.33498, mae_Stridelength_FF=11.65641, 
Epoch:115, mse_tr=8.70108, mse_te=18.20025, std_te=9.83260, mae_Stridelength_FF=18.20025, 
Epoch:120, mse_tr=9.69178, mse_te=11.31376, std_te=7.33601, mae_Stridelength_FF=11.31376, 
Epoch:125, mse_tr=8.81928, mse_te=14.65581, std_te=9.25663, mae_Stridelength_FF=14.65581, 
Epoch:130, mse_tr=8.60308, mse_te=13.98873, std_te=8.54434, mae_Stridelength_FF=13.98873, 
Epoch:135, mse_tr=8.68061, mse_te=17.18235, std_te=10.58500, mae_Stridelength_FF=17.18235, 
Epoch:140, mse_tr=8.68530, mse_te=16.56723, std_te=8.51140, mae_Stridelength_FF=16.56723, 
Epoch:145, mse_tr=8.56922, mse_te=12.93328, std_te=7.61573, mae_Stridelength_FF=12.93328, 
Epoch:150, mse_tr=8.36873, mse_te=12.74942, std_te=8.01696, mae_Stridelength_FF=12.74942, 
Epoch:155, mse_tr=8.45947, mse_te=15.43724, std_te=7.59493, mae_Stridelength_FF=15.43724, 
Epoch:160, mse_tr=8.45194, mse_te=14.85183, std_te=7.43073, mae_Stridelength_FF=14.85183, 
Epoch:165, mse_tr=8.63711, mse_te=11.97511, std_te=7.93561, mae_Stridelength_FF=11.97511, 
Epoch:170, mse_tr=8.01031, mse_te=10.74276, std_te=6.65212, mae_Stridelength_FF=10.74276, 
Epoch:175, mse_tr=8.29917, mse_te=12.28001, std_te=8.06171, mae_Stridelength_FF=12.28001, 
Epoch:180, mse_tr=7.68024, mse_te=12.07989, std_te=7.68513, mae_Stridelength_FF=12.07989, 
Epoch:185, mse_tr=8.15641, mse_te=12.55137, std_te=6.95595, mae_Stridelength_FF=12.55137, 
Epoch:190, mse_tr=7.88118, mse_te=15.85667, std_te=11.10434, mae_Stridelength_FF=15.85667, 
Epoch:195, mse_tr=7.60052, mse_te=14.88646, std_te=9.71381, mae_Stridelength_FF=14.88646, 
