Epoch:0, mse_tr=55.30351, mse_te=28.64663, std_te=10.61439, mae_Stridelength_FF=28.64663, 
Epoch:5, mse_tr=17.76593, mse_te=11.28423, std_te=9.79071, mae_Stridelength_FF=11.28423, 
Epoch:10, mse_tr=15.34108, mse_te=23.93481, std_te=8.74054, mae_Stridelength_FF=23.93481, 
Epoch:15, mse_tr=14.50493, mse_te=22.57078, std_te=11.26971, mae_Stridelength_FF=22.57078, 
Epoch:20, mse_tr=14.12295, mse_te=8.20399, std_te=7.00037, mae_Stridelength_FF=8.20399, 
Epoch:25, mse_tr=12.81435, mse_te=8.63144, std_te=7.23800, mae_Stridelength_FF=8.63144, 
Epoch:30, mse_tr=11.07625, mse_te=9.95940, std_te=9.00685, mae_Stridelength_FF=9.95940, 
Epoch:35, mse_tr=12.06714, mse_te=11.95140, std_te=7.84662, mae_Stridelength_FF=11.95140, 
Epoch:40, mse_tr=10.15977, mse_te=10.54922, std_te=9.07752, mae_Stridelength_FF=10.54922, 
Epoch:45, mse_tr=10.29323, mse_te=13.10048, std_te=10.44086, mae_Stridelength_FF=13.10048, 
Epoch:50, mse_tr=11.23310, mse_te=9.16796, std_te=6.97106, mae_Stridelength_FF=9.16796, 
Epoch:55, mse_tr=9.39208, mse_te=11.85096, std_te=8.62171, mae_Stridelength_FF=11.85096, 
Epoch:60, mse_tr=9.99514, mse_te=12.15578, std_te=10.73836, mae_Stridelength_FF=12.15578, 
Epoch:65, mse_tr=10.22012, mse_te=12.90343, std_te=8.03532, mae_Stridelength_FF=12.90343, 
Epoch:70, mse_tr=9.80096, mse_te=8.79198, std_te=6.90611, mae_Stridelength_FF=8.79198, 
Epoch:75, mse_tr=9.30162, mse_te=9.87982, std_te=9.43628, mae_Stridelength_FF=9.87982, 
Epoch:80, mse_tr=8.63359, mse_te=10.73753, std_te=7.72099, mae_Stridelength_FF=10.73753, 
Epoch:85, mse_tr=9.01974, mse_te=9.47801, std_te=6.32112, mae_Stridelength_FF=9.47801, 
Epoch:90, mse_tr=9.07848, mse_te=11.74140, std_te=9.40841, mae_Stridelength_FF=11.74140, 
Epoch:95, mse_tr=9.50281, mse_te=12.46467, std_te=9.07668, mae_Stridelength_FF=12.46467, 
Epoch:100, mse_tr=8.55496, mse_te=13.19468, std_te=9.01582, mae_Stridelength_FF=13.19468, 
Epoch:105, mse_tr=8.78039, mse_te=9.82804, std_te=6.49240, mae_Stridelength_FF=9.82804, 
Epoch:110, mse_tr=8.28958, mse_te=11.95186, std_te=7.69906, mae_Stridelength_FF=11.95186, 
Epoch:115, mse_tr=8.86283, mse_te=10.70400, std_te=7.68215, mae_Stridelength_FF=10.70400, 
Epoch:120, mse_tr=8.54887, mse_te=7.40815, std_te=5.80356, mae_Stridelength_FF=7.40815, 
Epoch:125, mse_tr=8.36221, mse_te=11.66831, std_te=9.71604, mae_Stridelength_FF=11.66831, 
Epoch:130, mse_tr=8.76934, mse_te=10.16902, std_te=7.66769, mae_Stridelength_FF=10.16902, 
Epoch:135, mse_tr=8.41723, mse_te=9.62459, std_te=6.52061, mae_Stridelength_FF=9.62459, 
Epoch:140, mse_tr=8.07251, mse_te=14.07663, std_te=10.62743, mae_Stridelength_FF=14.07663, 
Epoch:145, mse_tr=8.36551, mse_te=11.44865, std_te=8.22118, mae_Stridelength_FF=11.44865, 
Epoch:150, mse_tr=7.81900, mse_te=11.58163, std_te=8.58687, mae_Stridelength_FF=11.58163, 
Epoch:155, mse_tr=7.65420, mse_te=18.76703, std_te=12.78625, mae_Stridelength_FF=18.76703, 
Epoch:160, mse_tr=7.50174, mse_te=10.14753, std_te=7.11413, mae_Stridelength_FF=10.14753, 
Epoch:165, mse_tr=7.65373, mse_te=10.39086, std_te=7.54638, mae_Stridelength_FF=10.39086, 
Epoch:170, mse_tr=7.67233, mse_te=11.11213, std_te=7.29015, mae_Stridelength_FF=11.11213, 
Epoch:175, mse_tr=8.04137, mse_te=12.21312, std_te=8.59667, mae_Stridelength_FF=12.21312, 
Epoch:180, mse_tr=7.38063, mse_te=10.30873, std_te=6.25481, mae_Stridelength_FF=10.30873, 
Epoch:185, mse_tr=7.62503, mse_te=9.78401, std_te=6.45458, mae_Stridelength_FF=9.78401, 
Epoch:190, mse_tr=7.49738, mse_te=10.80479, std_te=8.07055, mae_Stridelength_FF=10.80479, 
Epoch:195, mse_tr=7.40230, mse_te=10.38457, std_te=6.59673, mae_Stridelength_FF=10.38457, 
