Epoch:0, mse_tr=1478.79499, mse_te=695.62735, std_te=30.75114, 
Epoch:5, mse_tr=1345.86022, mse_te=532.46632, std_te=20.53713, 
Epoch:10, mse_tr=1370.28396, mse_te=499.31805, std_te=21.53624, 
Epoch:15, mse_tr=1298.53150, mse_te=522.30335, std_te=20.96989, 
Epoch:20, mse_tr=1241.25599, mse_te=630.83185, std_te=31.55186, 
Epoch:25, mse_tr=1277.28055, mse_te=521.40506, std_te=21.68328, 
Epoch:30, mse_tr=1265.44512, mse_te=657.78959, std_te=26.07826, 
Epoch:35, mse_tr=1207.27347, mse_te=510.19747, std_te=22.47309, 
Epoch:40, mse_tr=1123.45637, mse_te=541.99682, std_te=22.87607, 
Epoch:45, mse_tr=1081.65514, mse_te=531.87973, std_te=19.62315, 
Epoch:50, mse_tr=1046.38673, mse_te=509.05734, std_te=20.87937, 
Epoch:55, mse_tr=1003.11748, mse_te=532.37815, std_te=21.43403, 
Epoch:60, mse_tr=988.50358, mse_te=500.79937, std_te=19.47663, 
Epoch:65, mse_tr=940.61085, mse_te=504.52699, std_te=19.88958, 
Epoch:70, mse_tr=891.74394, mse_te=614.60496, std_te=25.05811, 
Epoch:75, mse_tr=857.81659, mse_te=546.19805, std_te=19.77168, 
Epoch:80, mse_tr=835.43186, mse_te=538.72132, std_te=22.36662, 
Epoch:85, mse_tr=743.48062, mse_te=503.53062, std_te=19.53617, 
Epoch:90, mse_tr=721.59855, mse_te=501.38581, std_te=18.97585, 
Epoch:95, mse_tr=687.81096, mse_te=527.40236, std_te=19.46541, 
Epoch:100, mse_tr=669.09586, mse_te=569.28468, std_te=22.48295, 
Epoch:105, mse_tr=622.88409, mse_te=591.56036, std_te=18.80430, 
Epoch:110, mse_tr=572.58348, mse_te=588.68844, std_te=24.93293, 
Epoch:115, mse_tr=523.23399, mse_te=583.45038, std_te=21.15135, 
Epoch:120, mse_tr=450.49051, mse_te=564.07266, std_te=20.49324, 
Epoch:125, mse_tr=414.19122, mse_te=602.86446, std_te=20.11051, 
Epoch:130, mse_tr=349.70425, mse_te=590.04394, std_te=20.35151, 
Epoch:135, mse_tr=337.11471, mse_te=571.51408, std_te=19.66966, 
Epoch:140, mse_tr=283.95299, mse_te=625.57281, std_te=22.77926, 
Epoch:145, mse_tr=221.43642, mse_te=557.05139, std_te=20.34673, 
Epoch:150, mse_tr=241.57555, mse_te=562.68033, std_te=23.03141, 
Epoch:155, mse_tr=205.70668, mse_te=575.12284, std_te=21.27200, 
Epoch:160, mse_tr=190.73978, mse_te=588.17612, std_te=20.43048, 
Epoch:165, mse_tr=182.31437, mse_te=590.61769, std_te=21.22862, 
Epoch:170, mse_tr=160.04530, mse_te=563.91301, std_te=20.74557, 
Epoch:175, mse_tr=137.77742, mse_te=577.26350, std_te=20.01093, 
Epoch:180, mse_tr=146.78816, mse_te=579.06150, std_te=19.98753, 
Epoch:185, mse_tr=127.19862, mse_te=587.77773, std_te=21.74016, 
Epoch:190, mse_tr=149.60289, mse_te=578.64451, std_te=20.45555, 
Epoch:195, mse_tr=117.25936, mse_te=601.20386, std_te=22.04282, 
